;class;family;key;kingdom;month;order;phylum;scientificname;taxonkey;year;direccion_territorial
30;BRYOPSIDA;SEMATOPHYLLACEAE;IGUAQUE;PLANTAE;6;HYPNALES;BRYOPHYTA;SEMATOPHYLLUM ADNATUM BRITTON, 1902;2680735;2001; ANDES NORORIENTALES
31;BRYOPSIDA;SEMATOPHYLLACEAE;IGUAQUE;PLANTAE;12;HYPNALES;BRYOPHYTA;SEMATOPHYLLUM MITT.;2680613;2002; ANDES NORORIENTALES
32;BRYOPSIDA;SEMATOPHYLLACEAE;IGUAQUE;PLANTAE;12;HYPNALES;BRYOPHYTA;SEMATOPHYLLUM MITT.;2680613;2002; ANDES NORORIENTALES
33;BRYOPSIDA;SEMATOPHYLLACEAE;IGUAQUE;PLANTAE;12;HYPNALES;BRYOPHYTA;SEMATOPHYLLUM MITT.;2680613;2002; ANDES NORORIENTALES
34;BRYOPSIDA;SEMATOPHYLLACEAE;IGUAQUE;PLANTAE;12;HYPNALES;BRYOPHYTA;SEMATOPHYLLUM MITT.;2680613;2002; ANDES NORORIENTALES
35;BRYOPSIDA;SEMATOPHYLLACEAE;IGUAQUE;PLANTAE;6;HYPNALES;BRYOPHYTA;SEMATOPHYLLUM SUBSIMPLEX MITTEN, 1869;2680674;2001; ANDES NORORIENTALES
36;BRYOPSIDA;SEMATOPHYLLACEAE;IGUAQUE;PLANTAE;6;HYPNALES;BRYOPHYTA;SEMATOPHYLLUM SUBPINNATUM BRITTON, 1918;2680758;2001; ANDES NORORIENTALES
37;LILIOPSIDA;SMILACACEAE;IGUAQUE;PLANTAE;7;LILIALES;TRACHEOPHYTA;SMILAX L.;2740627;2002; ANDES NORORIENTALES
38;BRYOPSIDA;SEMATOPHYLLACEAE;IGUAQUE;PLANTAE;6;HYPNALES;BRYOPHYTA;SEMATOPHYLLUM ERYTHROPODIUM MITTEN, 1869;2680626;2001; ANDES NORORIENTALES
39;LYCOPODIOPSIDA;SELAGINELLACEAE;IGUAQUE;PLANTAE;6;SELAGINELLALES;TRACHEOPHYTA;SELAGINELLACEAE;6724;2001; ANDES NORORIENTALES
40;BRYOPSIDA;BRYACEAE;IGUAQUE;PLANTAE;6;BRYALES;BRYOPHYTA;SCHIZYMENIUM ANDINUM A.J.SHAW, 1985;2677085;2001; ANDES NORORIENTALES
41;BRYOPSIDA;BRYACEAE;IGUAQUE;PLANTAE;6;BRYALES;BRYOPHYTA;SCHIZYMENIUM LINDIGII A.J.SHAW, 1985;2677112;2001; ANDES NORORIENTALES
42;BRYOPSIDA;BRYACEAE;IGUAQUE;PLANTAE;6;BRYALES;BRYOPHYTA;SCHIZYMENIUM GRACILISETUM A.J.SHAW, 1985;2677074;2001; ANDES NORORIENTALES
43;BRYOPSIDA;BRACHYTHECIACEAE;IGUAQUE;PLANTAE;6;HYPNALES;BRYOPHYTA;RHYNCHOSTEGIUM SERRULATUM (HEDW.) A.JAEGER;4279450;2001; ANDES NORORIENTALES
44;LILIOPSIDA;CYPERACEAE;IGUAQUE;PLANTAE;6;POALES;TRACHEOPHYTA;RHYNCHOSPORA ARISTATA BOECKELER;2720632;2001; ANDES NORORIENTALES
45;LILIOPSIDA;CYPERACEAE;IGUAQUE;PLANTAE;6;POALES;TRACHEOPHYTA;RHYNCHOSPORA RUIZIANA BOECKELER;2721007;2001; ANDES NORORIENTALES
46;LILIOPSIDA;CYPERACEAE;IGUAQUE;PLANTAE;4;POALES;TRACHEOPHYTA;RHYNCHOSPORA VAHL;2701052;2000; ANDES NORORIENTALES
47;LILIOPSIDA;CYPERACEAE;IGUAQUE;PLANTAE;4;POALES;TRACHEOPHYTA;RHYNCHOSPORA VAHL;2701052;2000; ANDES NORORIENTALES
48;LILIOPSIDA;CYPERACEAE;IGUAQUE;PLANTAE;12;POALES;TRACHEOPHYTA;RHYNCHOSPORA VAHL;2701052;2002; ANDES NORORIENTALES
49;LILIOPSIDA;CYPERACEAE;IGUAQUE;PLANTAE;12;POALES;TRACHEOPHYTA;RHYNCHOSPORA VAHL;2701052;2002; ANDES NORORIENTALES
50;BRYOPSIDA;RHIZOGONIACEAE;IGUAQUE;PLANTAE;6;BRYALES;BRYOPHYTA;RHIZOGONIUM NOVAE-HOLLANDIAE BRIDEL, 1827;2676473;2001; ANDES NORORIENTALES
51;JUNGERMANNIOPSIDA;RADULACEAE;IGUAQUE;PLANTAE;6;PORELLALES;MARCHANTIOPHYTA;RADULA JAVANICA GOTTSCHE;7778306;2001; ANDES NORORIENTALES
52;BRYOPSIDA;GRIMMIACEAE;IGUAQUE;PLANTAE;6;GRIMMIALES;BRYOPHYTA;RACOMITRIUM CUCULLATIFOLIUM HAMPE, 1863;2674286;2001; ANDES NORORIENTALES
53;JUNGERMANNIOPSIDA;LEJEUNEACEAE;IGUAQUE;PLANTAE;6;PORELLALES;MARCHANTIOPHYTA;RECTOLEJEUNEA BERTEROANA (GOTTSCHE EX STEPHANI) A.EVANS;2688794;2001; ANDES NORORIENTALES
54;JUNGERMANNIOPSIDA;RADULACEAE;IGUAQUE;PLANTAE;6;PORELLALES;MARCHANTIOPHYTA;RADULA EPISCIA SPRUCE;8426228;2001; ANDES NORORIENTALES
55;JUNGERMANNIOPSIDA;RADULACEAE;IGUAQUE;PLANTAE;12;PORELLALES;MARCHANTIOPHYTA;RADULACEAE;2266;2002; ANDES NORORIENTALES
56;JUNGERMANNIOPSIDA;RADULACEAE;IGUAQUE;PLANTAE;6;PORELLALES;MARCHANTIOPHYTA;RADULA VOLUTA TAYLOR;5710154;2001; ANDES NORORIENTALES
57;JUNGERMANNIOPSIDA;RADULACEAE;IGUAQUE;PLANTAE;6;PORELLALES;MARCHANTIOPHYTA;RADULACEAE;2266;2001; ANDES NORORIENTALES
58;JUNGERMANNIOPSIDA;RADULACEAE;IGUAQUE;PLANTAE;12;PORELLALES;MARCHANTIOPHYTA;RADULACEAE;2266;2002; ANDES NORORIENTALES
