;class;family;key;kingdom;month;order;phylum;scientificname;taxonkey;year;direccion_territorial
131;MAGNOLIOPSIDA;RUBIACEAE;IGUAQUE;PLANTAE;6;GENTIANALES;TRACHEOPHYTA;PALICOUREA LINEARIFLORA WERNHAM;2899224;2001; ANDES NORORIENTALES
132;BRYOPSIDA;ORTHOTRICHACEAE;IGUAQUE;PLANTAE;6;ORTHOTRICHALES;BRYOPHYTA;ORTHOTRICHUM PUNGENS MITTEN, 1869;2672622;2001; ANDES NORORIENTALES
133;LILIOPSIDA;CYPERACEAE;IGUAQUE;PLANTAE;6;POALES;TRACHEOPHYTA;OREOBOLUS GOEPPINGERI SUESS.;2711916;2001; ANDES NORORIENTALES
134;MAGNOLIOPSIDA;ARALIACEAE;IGUAQUE;PLANTAE;12;APIALES;TRACHEOPHYTA;OREOPANAX FLORIBUNDUS (KUNTH) DECNE. & PLANCH.;3036585;2002; ANDES NORORIENTALES
135;MAGNOLIOPSIDA;ARALIACEAE;IGUAQUE;PLANTAE;9;APIALES;TRACHEOPHYTA;OREOPANAX FLORIBUNDUS (KUNTH) DECNE. & PLANCH.;3036585;2003; ANDES NORORIENTALES
136;MAGNOLIOPSIDA;ASTERACEAE;IGUAQUE;PLANTAE;4;ASTERALES;TRACHEOPHYTA;ORITROPHIUM PERUVIANUM (LAM.) CUATREC.;3096721;2000; ANDES NORORIENTALES
137;MAGNOLIOPSIDA;ASTERACEAE;IGUAQUE;PLANTAE;6;ASTERALES;TRACHEOPHYTA;ORITROPHIUM PERUVIANUM (LAM.) CUATREC.;3096721;2001; ANDES NORORIENTALES
138;JUNGERMANNIOPSIDA;CEPHALOZIACEAE;IGUAQUE;PLANTAE;6;JUNGERMANNIALES;MARCHANTIOPHYTA;ODONTOSCHISMA LONGIFLORUM STEPHANI;8275621;2001; ANDES NORORIENTALES
139;MAMMALIA;CRICETIDAE;IGUAQUE;ANIMALIA;6;RODENTIA;CHORDATA;OLIGORYZOMYS FULVESCENS (SAUSSURE, 1860);2438276;2001; ANDES NORORIENTALES
140;MAGNOLIOPSIDA;LAURACEAE;IGUAQUE;PLANTAE;12;LAURALES;TRACHEOPHYTA;OCOTEA CALOPHYLLA MEZ;4176520;2002; ANDES NORORIENTALES
141;BRYOPSIDA;NECKERACEAE;IGUAQUE;PLANTAE;6;LEUCODONTALES;BRYOPHYTA;NECKERA SCABRIDENS MA¼LL.HAL.;9157887;2001; ANDES NORORIENTALES
142;MAGNOLIOPSIDA;RUBIACEAE;IGUAQUE;PLANTAE;6;GENTIANALES;TRACHEOPHYTA;NERTERA GRANADENSIS DRUCE;2911624;2001; ANDES NORORIENTALES
143;MAGNOLIOPSIDA;RUBIACEAE;IGUAQUE;PLANTAE;6;GENTIANALES;TRACHEOPHYTA;NERTERA GRANADENSIS DRUCE;2911624;2001; ANDES NORORIENTALES
144;MAGNOLIOPSIDA;RUBIACEAE;IGUAQUE;PLANTAE;6;GENTIANALES;TRACHEOPHYTA;NERTERA GRANADENSIS DRUCE;2911624;2001; ANDES NORORIENTALES
145;JUNGERMANNIOPSIDA;NOTEROCLADACEAE;IGUAQUE;PLANTAE;6;PELLIALES;MARCHANTIOPHYTA;NOTEROCLADA CONFLUENS TAYLOR EX HOOK. & WILSON;2689546;2001; ANDES NORORIENTALES
146;MAGNOLIOPSIDA;MYRTACEAE;IGUAQUE;PLANTAE;9;MYRTALES;TRACHEOPHYTA;MYRCIANTHES LEUCOXYLA (ORTEGA) MCVAUGH;3188304;2003; ANDES NORORIENTALES
147;MAGNOLIOPSIDA;MYRTACEAE;IGUAQUE;PLANTAE;12;MYRTALES;TRACHEOPHYTA;MYRCIANTHES O.BERG;3188150;2002; ANDES NORORIENTALES
148;MAGNOLIOPSIDA;PRIMULACEAE;IGUAQUE;PLANTAE;12;ERICALES;TRACHEOPHYTA;MYRSINE DEPENDENS (RUIZ & PAV.) SPRENG.;3721831;2002; ANDES NORORIENTALES
149;MAGNOLIOPSIDA;ASTERACEAE;IGUAQUE;PLANTAE;6;ASTERALES;TRACHEOPHYTA;MUTISIA CLEMATIS L.F.;3144168;2001; ANDES NORORIENTALES
150;MAGNOLIOPSIDA;ASTERACEAE;IGUAQUE;PLANTAE;6;ASTERALES;TRACHEOPHYTA;MUTISIA CLEMATIS L.F.;3144168;2001; ANDES NORORIENTALES
151;MAGNOLIOPSIDA;BORAGINACEAE;IGUAQUE;PLANTAE;6;BORAGINALES;TRACHEOPHYTA;MORITZIA LINDENII BENTH. EX GA¼RKE;8207707;2001; ANDES NORORIENTALES
152;MARCHANTIOPSIDA;MONOCLEACEAE;IGUAQUE;PLANTAE;6;MARCHANTIALES;MARCHANTIOPHYTA;MONOCLEA GOTTSCHEI LINDB.;2688635;2001; ANDES NORORIENTALES
153;BRYOPSIDA;HYPNACEAE;IGUAQUE;PLANTAE;6;HYPNALES;BRYOPHYTA;MITTENOTHAMNIUM REPTANS CARDOT, 1913;2682458;2001; ANDES NORORIENTALES
154;MAGNOLIOPSIDA;ASTERACEAE;IGUAQUE;PLANTAE;12;ASTERALES;TRACHEOPHYTA;MIKANIA WILLD.;7722389;2002; ANDES NORORIENTALES
155;MAGNOLIOPSIDA;ASTERACEAE;IGUAQUE;PLANTAE;12;ASTERALES;TRACHEOPHYTA;MIKANIA WILLD.;7722389;2002; ANDES NORORIENTALES
156;BRYOPSIDA;METEORIACEAE;IGUAQUE;PLANTAE;6;LEUCODONTALES;BRYOPHYTA;METEORIDIUM;7928547;2001; ANDES NORORIENTALES
157;JUNGERMANNIOPSIDA;METZGERIACEAE;IGUAQUE;PLANTAE;6;METZGERIALES;MARCHANTIOPHYTA;METZGERIA LEPTONEURA SPRUCE;5286377;2001; ANDES NORORIENTALES
158;JUNGERMANNIOPSIDA;METZGERIACEAE;IGUAQUE;PLANTAE;6;METZGERIALES;MARCHANTIOPHYTA;METZGERIA SCYPHIGERA A.EVANS;7788350;2001; ANDES NORORIENTALES
159;JUNGERMANNIOPSIDA;METZGERIACEAE;IGUAQUE;PLANTAE;6;METZGERIALES;MARCHANTIOPHYTA;METZGERIACEAE;2274;2001; ANDES NORORIENTALES
160;JUNGERMANNIOPSIDA;METZGERIACEAE;IGUAQUE;PLANTAE;12;METZGERIALES;MARCHANTIOPHYTA;METZGERIACEAE;2274;2002; ANDES NORORIENTALES
161;JUNGERMANNIOPSIDA;METZGERIACEAE;IGUAQUE;PLANTAE;6;METZGERIALES;MARCHANTIOPHYTA;METZGERIACEAE;2274;2001; ANDES NORORIENTALES
162;BRYOPSIDA;METEORIACEAE;IGUAQUE;PLANTAE;6;LEUCODONTALES;BRYOPHYTA;METEORIUM SINUATUM (MA¼LL.HAL.) MITT.;7818721;2001; ANDES NORORIENTALES
163;BRYOPSIDA;METEORIACEAE;IGUAQUE;PLANTAE;6;LEUCODONTALES;BRYOPHYTA;METEORIUM SINUATUM (MA¼LL.HAL.) MITT.;7818721;2001; ANDES NORORIENTALES
164;BRYOPSIDA;METEORIACEAE;IGUAQUE;PLANTAE;6;LEUCODONTALES;BRYOPHYTA;METEORIUM SINUATUM (MA¼LL.HAL.) MITT.;7818721;2001; ANDES NORORIENTALES
165;MAGNOLIOPSIDA;MELASTOMATACEAE;IGUAQUE;PLANTAE;12;MYRTALES;TRACHEOPHYTA;MELASTOMATACEAE;6683;2002; ANDES NORORIENTALES
166;MAGNOLIOPSIDA;SABIACEAE;IGUAQUE;PLANTAE;12;PROTEALES;TRACHEOPHYTA;MELIOSMA BLUME;3033959;2002; ANDES NORORIENTALES
167;MAMMALIA;CRICETIDAE;IGUAQUE;ANIMALIA;4;RODENTIA;CHORDATA;MELANOMYS CALIGINOSUS (TOMES, 1860);5219852;2000; ANDES NORORIENTALES
168;BRYOPSIDA;ORTHOTRICHACEAE;IGUAQUE;PLANTAE;6;ORTHOTRICHALES;BRYOPHYTA;MACROMITRIUM CIRROSUM BRIDEL, 1826;2672392;2001; ANDES NORORIENTALES
169;BRYOPSIDA;ORTHOTRICHACEAE;IGUAQUE;PLANTAE;6;ORTHOTRICHALES;BRYOPHYTA;MACROMITRIUM LONGIFOLIUM BRIDEL, 1826;2672263;2001; ANDES NORORIENTALES
170;BRYOPSIDA;ORTHOTRICHACEAE;IGUAQUE;PLANTAE;12;ORTHOTRICHALES;BRYOPHYTA;MACROMITRIUM BRID.;2672079;2002; ANDES NORORIENTALES
171;MARCHANTIOPSIDA;MARCHANTIACEAE;IGUAQUE;PLANTAE;12;MARCHANTIALES;MARCHANTIOPHYTA;MARCHANTIA CHENOPODA L.;7371533;2002; ANDES NORORIENTALES
172;MARCHANTIOPSIDA;MARCHANTIACEAE;IGUAQUE;PLANTAE;6;MARCHANTIALES;MARCHANTIOPHYTA;MARCHANTIA PLICATA NEES & MONT.;8295816;2001; ANDES NORORIENTALES
173;LYCOPODIOPSIDA;LYCOPODIACEAE;IGUAQUE;PLANTAE;6;LYCOPODIALES;TRACHEOPHYTA;LYCOPODIUM CLAVATUM L.;2688393;2001; ANDES NORORIENTALES
174;LYCOPODIOPSIDA;LYCOPODIACEAE;IGUAQUE;PLANTAE;4;LYCOPODIALES;TRACHEOPHYTA;LYCOPODIUM L.;2688247;2000; ANDES NORORIENTALES
175;MAGNOLIOPSIDA;CAMPANULACEAE;IGUAQUE;PLANTAE;12;ASTERALES;TRACHEOPHYTA;LYSIPOMIA KUNTH;3166024;2002; ANDES NORORIENTALES
176;MAGNOLIOPSIDA;CAMPANULACEAE;IGUAQUE;PLANTAE;6;ASTERALES;TRACHEOPHYTA;LYSIPOMIA MUSCOIDES HOOK.F.;3166072;2001; ANDES NORORIENTALES
177;MAGNOLIOPSIDA;FABACEAE;IGUAQUE;PLANTAE;6;FABALES;TRACHEOPHYTA;LUPINUS BOGOTENSIS BENTH.;2964150;2001; ANDES NORORIENTALES
178;MAGNOLIOPSIDA;FABACEAE;IGUAQUE;PLANTAE;6;FABALES;TRACHEOPHYTA;LUPINUS BOGOTENSIS BENTH.;2964150;2001; ANDES NORORIENTALES
179;MAGNOLIOPSIDA;FABACEAE;IGUAQUE;PLANTAE;12;FABALES;TRACHEOPHYTA;LUPINUS L.;2963774;2002; ANDES NORORIENTALES
180;MAGNOLIOPSIDA;SOLANACEAE;IGUAQUE;PLANTAE;8;SOLANALES;TRACHEOPHYTA;LYCIANTHES HASSL.;2928971;1999; ANDES NORORIENTALES
181;JUNGERMANNIOPSIDA;LOPHOCOLEACEAE;IGUAQUE;PLANTAE;6;JUNGERMANNIALES;MARCHANTIOPHYTA;LOPHOCOLEA MURICATA (LEHM.) NEES;4276911;2001; ANDES NORORIENTALES
182;MAGNOLIOPSIDA;ASTERACEAE;IGUAQUE;PLANTAE;12;ASTERALES;TRACHEOPHYTA;LLERASIA LINDENII TRIANA;3122206;2002; ANDES NORORIENTALES
183;MAGNOLIOPSIDA;CAMPANULACEAE;IGUAQUE;PLANTAE;12;ASTERALES;TRACHEOPHYTA;LOBELIA L.;2756426;2002; ANDES NORORIENTALES
184;MAGNOLIOPSIDA;ASTERACEAE;IGUAQUE;PLANTAE;8;ASTERALES;TRACHEOPHYTA;LLERASIA LINDENII TRIANA;3122206;1999; ANDES NORORIENTALES
185;MAGNOLIOPSIDA;CAMPANULACEAE;IGUAQUE;PLANTAE;12;ASTERALES;TRACHEOPHYTA;LOBELIA L.;2756426;2002; ANDES NORORIENTALES
186;JUNGERMANNIOPSIDA;LOPHOCOLEACEAE;IGUAQUE;PLANTAE;6;JUNGERMANNIALES;MARCHANTIOPHYTA;LOPHOCOLEA MARTIANA NEES;4276922;2001; ANDES NORORIENTALES
187;BRYOPSIDA;POTTIACEAE;IGUAQUE;PLANTAE;6;POTTIALES;BRYOPHYTA;LEPTODONTIUM FLEXIFOLIUM HAMPE, 1864;5280722;2001; ANDES NORORIENTALES
188;BRYOPSIDA;POTTIACEAE;IGUAQUE;PLANTAE;6;POTTIALES;BRYOPHYTA;LEPTODONTIUM FLEXIFOLIUM HAMPE, 1864;5280722;2001; ANDES NORORIENTALES
189;BRYOPSIDA;POTTIACEAE;IGUAQUE;PLANTAE;6;POTTIALES;BRYOPHYTA;LEPTODONTIUM VITICULOSOIDES WIJK & MARGADANT, 1960;5280698;2001; ANDES NORORIENTALES
190;JUNGERMANNIOPSIDA;LOPHOCOLEACEAE;IGUAQUE;PLANTAE;6;JUNGERMANNIALES;MARCHANTIOPHYTA;LEPTOSCYPHUS AMPHIBOLIUS (NEES) GROLLE;8429528;2001; ANDES NORORIENTALES
191;JUNGERMANNIOPSIDA;LEJEUNEACEAE;IGUAQUE;PLANTAE;6;PORELLALES;MARCHANTIOPHYTA;LEUCOLEJEUNEA XANTHOCARPA (LEHM. & LINDENB.) A.EVANS;4276745;2001; ANDES NORORIENTALES
192;JUNGERMANNIOPSIDA;LOPHOCOLEACEAE;IGUAQUE;PLANTAE;6;JUNGERMANNIALES;MARCHANTIOPHYTA;LEPTOSCYPHUS PORPHYRIUS (NEES) GROLLE;8150351;2001; ANDES NORORIENTALES
193;JUNGERMANNIOPSIDA;LEPIDOZIACEAE;IGUAQUE;PLANTAE;12;JUNGERMANNIALES;MARCHANTIOPHYTA;LEPIDOZIACEAE;2280;2002; ANDES NORORIENTALES
194;BRYOPSIDA;DALTONIACEAE;IGUAQUE;PLANTAE;6;HOOKERIALES;BRYOPHYTA;LEPIDOPILUM SCABRISETUM STEERE, 1948;2669395;2001; ANDES NORORIENTALES
195;JUNGERMANNIOPSIDA;LEJEUNEACEAE;IGUAQUE;PLANTAE;6;PORELLALES;MARCHANTIOPHYTA;LEJEUNEACEAE;6118;2001; ANDES NORORIENTALES
196;JUNGERMANNIOPSIDA;LEJEUNEACEAE;IGUAQUE;PLANTAE;6;PORELLALES;MARCHANTIOPHYTA;LEJEUNEACEAE;6118;2001; ANDES NORORIENTALES
197;JUNGERMANNIOPSIDA;LEJEUNEACEAE;IGUAQUE;PLANTAE;12;PORELLALES;MARCHANTIOPHYTA;LEJEUNEACEAE;6118;2002; ANDES NORORIENTALES
198;JUNGERMANNIOPSIDA;LEJEUNEACEAE;IGUAQUE;PLANTAE;12;PORELLALES;MARCHANTIOPHYTA;LEJEUNEACEAE;6118;2002; ANDES NORORIENTALES
199;JUNGERMANNIOPSIDA;LEPIDOZIACEAE;IGUAQUE;PLANTAE;6;JUNGERMANNIALES;MARCHANTIOPHYTA;LEPIDOZIA CUPRESSINA (SW.) LINDENB.;7946536;2001; ANDES NORORIENTALES
200;BRYOPSIDA;DALTONIACEAE;IGUAQUE;PLANTAE;6;HOOKERIALES;BRYOPHYTA;LEPIDOPILUM PALLIDO-NITENS PARIS, 1900;2669411;2001; ANDES NORORIENTALES
201;JUNGERMANNIOPSIDA;LEJEUNEACEAE;IGUAQUE;PLANTAE;6;PORELLALES;MARCHANTIOPHYTA;LEJEUNEA CANCELLATA NEES & MONT.;7977547;2001; ANDES NORORIENTALES
202;JUNGERMANNIOPSIDA;LEJEUNEACEAE;IGUAQUE;PLANTAE;6;PORELLALES;MARCHANTIOPHYTA;LEJEUNEA REFLEXISTIPULA (LEHM. & LINDENB.) GOTTSCHE;7910222;2001; ANDES NORORIENTALES
203;JUNGERMANNIOPSIDA;LEJEUNEACEAE;IGUAQUE;PLANTAE;6;PORELLALES;MARCHANTIOPHYTA;LEJEUNEA FLAVA (SW.) NEES;2688906;2001; ANDES NORORIENTALES
204;MAGNOLIOPSIDA;ROSACEAE;IGUAQUE;PLANTAE;9;ROSALES;TRACHEOPHYTA;LACHEMILLA FULVESCENS (ROTHM.) ROTHM.;3025349;2003; ANDES NORORIENTALES
205;MAGNOLIOPSIDA;ASTERACEAE;IGUAQUE;PLANTAE;12;ASTERALES;TRACHEOPHYTA;JUNGIA FERRUGINEA L.F.;5402219;2002; ANDES NORORIENTALES
206;JUNGERMANNIOPSIDA;JAMESONIELLACEAE;IGUAQUE;PLANTAE;12;JUNGERMANNIALES;MARCHANTIOPHYTA;JAMESONIELLACEAE;2281;2002; ANDES NORORIENTALES
207;JUNGERMANNIOPSIDA;JUNGERMANNIACEAE;IGUAQUE;PLANTAE;6;JUNGERMANNIALES;MARCHANTIOPHYTA;JUNGERMANNIA OVATOTRIGONA (STEPH.) GROLLE;7525594;2001; ANDES NORORIENTALES
208;JUNGERMANNIOPSIDA;BALANTIOPSIDACEAE;IGUAQUE;PLANTAE;6;JUNGERMANNIALES;MARCHANTIOPHYTA;ISOTACHIS MULTICEPS (LINDENB. & GOTTSCHE) GOTTSCHE;7578028;2001; ANDES NORORIENTALES
209;MAGNOLIOPSIDA;AQUIFOLIACEAE;IGUAQUE;PLANTAE;12;AQUIFOLIALES;TRACHEOPHYTA;ILEX L.;3169013;2002; ANDES NORORIENTALES
210;BRYOPSIDA;HYPNACEAE;IGUAQUE;PLANTAE;12;HYPNALES;BRYOPHYTA;HYPNUM AMABILE HAMPE, 1869;2682016;2002; ANDES NORORIENTALES
211;BRYOPSIDA;HYPNACEAE;IGUAQUE;PLANTAE;6;HYPNALES;BRYOPHYTA;HYPNUM AMABILE HAMPE, 1869;2682016;2001; ANDES NORORIENTALES
212;BRYOPSIDA;HYPNACEAE;IGUAQUE;PLANTAE;6;HYPNALES;BRYOPHYTA;HYPNUM AMABILE HAMPE, 1869;2682016;2001; ANDES NORORIENTALES
213;MAGNOLIOPSIDA;ASTERACEAE;IGUAQUE;PLANTAE;4;ASTERALES;TRACHEOPHYTA;HYPOCHAERIS RADICATA L.;3093702;2000; ANDES NORORIENTALES
214;BRYOPSIDA;HOOKERIACEAE;IGUAQUE;PLANTAE;6;HOOKERIALES;BRYOPHYTA;HYPOPTERYGIUM TAMARISCINUM (HEDW.) BRID.;8689931;2001; ANDES NORORIENTALES
215;BRYOPSIDA;LEPTODONTACEAE;IGUAQUE;PLANTAE;6;LEUCODONTALES;BRYOPHYTA;LEPTODON MOHR;2678421;2001; ANDES NORORIENTALES
216;MAGNOLIOPSIDA;APIACEAE;IGUAQUE;PLANTAE;12;APIALES;TRACHEOPHYTA;HYDROCOTYLE L.;3034601;2002; ANDES NORORIENTALES
217;BRYOPSIDA;HOOKERIACEAE;IGUAQUE;PLANTAE;6;HOOKERIALES;BRYOPHYTA;HOOKERIA ACUTIFOLIA W.J.HOOKER & GREVILLE, 1825;5280016;2001; ANDES NORORIENTALES
218;BRYOPSIDA;HOOKERIACEAE;IGUAQUE;PLANTAE;12;HOOKERIALES;BRYOPHYTA;HOOKERIA ACUTIFOLIA W.J.HOOKER & GREVILLE, 1825;5280016;2002; ANDES NORORIENTALES
219;LYCOPODIOPSIDA;LYCOPODIACEAE;IGUAQUE;PLANTAE;4;LYCOPODIALES;TRACHEOPHYTA;HUPERZIA BERNH.;2688450;2000; ANDES NORORIENTALES
220;JUNGERMANNIOPSIDA;HERBERTACEAE;IGUAQUE;PLANTAE;6;JUNGERMANNIALES;MARCHANTIOPHYTA;HERBERTACEAE;2282;2001; ANDES NORORIENTALES
221;MAGNOLIOPSIDA;CHLORANTHACEAE;IGUAQUE;PLANTAE;12;CHLORANTHALES;TRACHEOPHYTA;HEDYOSMUM CRENATUM OCCHIONI;3750506;2002; ANDES NORORIENTALES
222;JUNGERMANNIOPSIDA;HERBERTACEAE;IGUAQUE;PLANTAE;12;JUNGERMANNIALES;MARCHANTIOPHYTA;HERBERTACEAE;2282;2002; ANDES NORORIENTALES
223;MAGNOLIOPSIDA;GENTIANACEAE;IGUAQUE;PLANTAE;6;GENTIANALES;TRACHEOPHYTA;HALENIA ASCLEPIADEA G.DON;5596294;2001; ANDES NORORIENTALES
224;MAGNOLIOPSIDA;GENTIANACEAE;IGUAQUE;PLANTAE;4;GENTIANALES;TRACHEOPHYTA;HALENIA ASCLEPIADEA G.DON;5596294;2000; ANDES NORORIENTALES
225;MAGNOLIOPSIDA;GENTIANACEAE;IGUAQUE;PLANTAE;12;GENTIANALES;TRACHEOPHYTA;HALENIA BORKH.;3169876;2002; ANDES NORORIENTALES
226;MAGNOLIOPSIDA;ASTERACEAE;IGUAQUE;PLANTAE;12;ASTERALES;TRACHEOPHYTA;GNAPHALIUM L.;5390705;2002; ANDES NORORIENTALES
227;MAGNOLIOPSIDA;ASTERACEAE;IGUAQUE;PLANTAE;6;ASTERALES;TRACHEOPHYTA;GAMOCHAETA PARAMORA (BLAKE) A.A.ANDERBERG;3139682;2001; ANDES NORORIENTALES
228;MAGNOLIOPSIDA;GENTIANACEAE;IGUAQUE;PLANTAE;6;GENTIANALES;TRACHEOPHYTA;GENTIANELLA CORYMBOSA (KUNTH) WEAVER & RUDENBERG;3843335;2001; ANDES NORORIENTALES
229;MAGNOLIOPSIDA;GENTIANACEAE;IGUAQUE;PLANTAE;12;GENTIANALES;TRACHEOPHYTA;GENTIANELLA MOENCH;3169845;2002; ANDES NORORIENTALES
230;MAGNOLIOPSIDA;RUBIACEAE;IGUAQUE;PLANTAE;7;GENTIANALES;TRACHEOPHYTA;GALIUM L.;2913027;2002; ANDES NORORIENTALES
231;JUNGERMANNIOPSIDA;LEJEUNEACEAE;IGUAQUE;PLANTAE;6;PORELLALES;MARCHANTIOPHYTA;FRULLANOIDES DENSIFOLIA RADDI;2688919;2001; ANDES NORORIENTALES
232;JUNGERMANNIOPSIDA;FRULLANIACEAE;IGUAQUE;PLANTAE;6;PORELLALES;MARCHANTIOPHYTA;FRULLANIA ARECAE (SPRENG.) GOTTSCHE;7714301;2001; ANDES NORORIENTALES
233;JUNGERMANNIOPSIDA;FRULLANIACEAE;IGUAQUE;PLANTAE;6;PORELLALES;MARCHANTIOPHYTA;FRULLANIA BRASILIENSIS RADDI;4277005;2001; ANDES NORORIENTALES
234;JUNGERMANNIOPSIDA;FRULLANIACEAE;IGUAQUE;PLANTAE;6;PORELLALES;MARCHANTIOPHYTA;FRULLANIA BRASILIENSIS RADDI;4277005;2001; ANDES NORORIENTALES
235;JUNGERMANNIOPSIDA;FRULLANIACEAE;IGUAQUE;PLANTAE;6;PORELLALES;MARCHANTIOPHYTA;FRULLANIA BRASILIENSIS RADDI;4277005;2001; ANDES NORORIENTALES
236;JUNGERMANNIOPSIDA;FRULLANIACEAE;IGUAQUE;PLANTAE;6;PORELLALES;MARCHANTIOPHYTA;FRULLANIA INTUMESCENS (LEHM. & LINDENB.) LEHM. & LINDENB.;7950642;2001; ANDES NORORIENTALES
237;JUNGERMANNIOPSIDA;FRULLANIACEAE;IGUAQUE;PLANTAE;12;PORELLALES;MARCHANTIOPHYTA;FRULLANIACEAE;2269;2002; ANDES NORORIENTALES
238;JUNGERMANNIOPSIDA;FRULLANIACEAE;IGUAQUE;PLANTAE;12;PORELLALES;MARCHANTIOPHYTA;FRULLANIACEAE;2269;2002; ANDES NORORIENTALES
239;BRYOPSIDA;FISSIDENTACEAE;IGUAQUE;PLANTAE;12;FISSIDENTALES;BRYOPHYTA;FISSIDENS HEDW.;2673216;2002; ANDES NORORIENTALES
240;BRYOPSIDA;FISSIDENTACEAE;IGUAQUE;PLANTAE;6;FISSIDENTALES;BRYOPHYTA;FISSIDENS ASPLENIOIDES HEDWIG, 1801;5283352;2001; ANDES NORORIENTALES
241;LILIOPSIDA;POACEAE;IGUAQUE;PLANTAE;10;POALES;TRACHEOPHYTA;FESTUCA CLEEFIANA E.B.ALEXEEV;4126308;1998; ANDES NORORIENTALES
242;LILIOPSIDA;POACEAE;IGUAQUE;PLANTAE;10;POALES;TRACHEOPHYTA;FESTUCA CLEEFIANA E.B.ALEXEEV;4126308;1998; ANDES NORORIENTALES
243;LILIOPSIDA;POACEAE;IGUAQUE;PLANTAE;10;POALES;TRACHEOPHYTA;FESTUCA TOCA STANA�A­K;4112427;1998; ANDES NORORIENTALES
244;BRYOPSIDA;BRACHYTHECIACEAE;IGUAQUE;PLANTAE;6;HYPNALES;BRYOPHYTA;EURHYNCHIUM PRAELONGUM W.P.SCHIMPER, 1854;2680229;2001; ANDES NORORIENTALES
245;BRYOPSIDA;FISSIDENTACEAE;IGUAQUE;PLANTAE;6;FISSIDENTALES;BRYOPHYTA;FISSIDENS CURVATUS HORNSCHUCH, 1841;5282989;2001; ANDES NORORIENTALES
246;BRYOPSIDA;BRACHYTHECIACEAE;IGUAQUE;PLANTAE;6;HYPNALES;BRYOPHYTA;EURHYNCHIUM PRAELONGUM W.P.SCHIMPER, 1854;2680229;2001; ANDES NORORIENTALES
247;BRYOPSIDA;FISSIDENTACEAE;IGUAQUE;PLANTAE;6;FISSIDENTALES;BRYOPHYTA;FISSIDENS PERFALCATUS BROTHERUS, 1900;5282999;2001; ANDES NORORIENTALES
248;BRYOPSIDA;BRACHYTHECIACEAE;IGUAQUE;PLANTAE;6;HYPNALES;BRYOPHYTA;EURHYNCHIUM PRAELONGUM W.P.SCHIMPER, 1854;2680229;2001; ANDES NORORIENTALES
249;MAGNOLIOPSIDA;ASTERACEAE;IGUAQUE;PLANTAE;6;ASTERALES;TRACHEOPHYTA;ESPELETIA BOYACENSIS CUATREC.;3105089;2001; ANDES NORORIENTALES
250;MAGNOLIOPSIDA;ASTERACEAE;IGUAQUE;PLANTAE;4;ASTERALES;TRACHEOPHYTA;ESPELETIA BOYACENSIS CUATREC.;3105089;2000; ANDES NORORIENTALES
251;MAGNOLIOPSIDA;ASTERACEAE;IGUAQUE;PLANTAE;4;ASTERALES;TRACHEOPHYTA;ESPELETIA MURILLOI CUATREC. & CUATREC.;3105074;2000; ANDES NORORIENTALES
252;MAGNOLIOPSIDA;ASTERACEAE;IGUAQUE;PLANTAE;12;ASTERALES;TRACHEOPHYTA;ESPELETIA MUTIS EX HUMB. & BONPL.;3105048;2002; ANDES NORORIENTALES
253;MAGNOLIOPSIDA;ASTERACEAE;IGUAQUE;PLANTAE;12;ASTERALES;TRACHEOPHYTA;ESPELETIA MUTIS EX HUMB. & BONPL.;3105048;2002; ANDES NORORIENTALES
254;BRYOPSIDA;ENTODONTACEAE;IGUAQUE;PLANTAE;6;HYPNALES;BRYOPHYTA;ENTODON MACROPODUS (HEDW.) MA¼LL.HAL.;8380625;2001; ANDES NORORIENTALES
255;LILIOPSIDA;CYPERACEAE;IGUAQUE;PLANTAE;12;POALES;TRACHEOPHYTA;ELEOCHARIS R.BR.;2716791;2002; ANDES NORORIENTALES
256;BRYOPSIDA;AMBLYSTEGIACEAE;IGUAQUE;PLANTAE;6;HYPNALES;BRYOPHYTA;DREPANOCLADUS SORDIDUS HEDENA¤S, 1998;5283610;2001; ANDES NORORIENTALES
257;BRYOPSIDA;HYPNACEAE;IGUAQUE;PLANTAE;6;HYPNALES;BRYOPHYTA;ECTROPOTHECIUM LEPTOCHAETON W.R.BUCK, 1983;2682237;2001; ANDES NORORIENTALES
258;MAGNOLIOPSIDA;WINTERACEAE;IGUAQUE;PLANTAE;7;CANELLALES;TRACHEOPHYTA;DRIMYS FORST.;3153974;2002; ANDES NORORIENTALES
259;MARCHANTIOPSIDA;DUMORTIERACEAE;IGUAQUE;PLANTAE;6;MARCHANTIALES;MARCHANTIOPHYTA;DUMORTIERA HIRSUTA (SW.) NEES;2688613;2001; ANDES NORORIENTALES
260;MARCHANTIOPSIDA;DUMORTIERACEAE;IGUAQUE;PLANTAE;12;MARCHANTIALES;MARCHANTIOPHYTA;DUMORTIERA HIRSUTA (SW.) NEES;2688613;2002; ANDES NORORIENTALES
261;BRYOPSIDA;DITRICHACEAE;IGUAQUE;PLANTAE;12;DICRANALES;BRYOPHYTA;DITRICHACEAE;8743;2002; ANDES NORORIENTALES
262;MAGNOLIOPSIDA;ASTERACEAE;IGUAQUE;PLANTAE;12;ASTERALES;TRACHEOPHYTA;DIPLOSTEPHIUM PHYLICOIDES WEDD.;3090681;2002; ANDES NORORIENTALES
