kingdom;phylum;class;order;family;scientificname;locality;taxonkey;1995.0;1996.0;1997.0;1998.0;1999.0;2000.0;2001.0;2002.0;2003.0;2004.0;2005.0;2006.0;2007.0;2008.0;2009.0;2013.0;2014.0;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21
ANIMALIA;CHORDATA;MAMMALIA;ARTIODACTYLA;CERVIDAE;MAZAMA AMERICANA (ERXLEBEN, 1777);CHINGAZA;5220123;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;346;2168;3365;3349;1600;1617;1844;589;1239;2891;3427;4328;4806;6986;11561;8508;9487;13801;15081;4462
ANIMALIA;CHORDATA;MAMMALIA;CARNIVORA;CANIDAE;CERDOCYON THOUS (LINNAEUS, 1766);CHINGAZA;2434584;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;346;2168;3365;3349;1600;1617;1844;589;1239;2891;3427;4328;4806;6986;11561;8508;9487;13801;15081;4462
ANIMALIA;CHORDATA;MAMMALIA;CARNIVORA;PROCYONIDAE;NASUELLA OLIVACEA (GRAY, 1865);CHINGAZA;2433588;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;346;2168;3365;3349;1600;1617;1844;589;1239;2891;3427;4328;4806;6986;11561;8508;9487;13801;15081;4462
ANIMALIA;CHORDATA;MAMMALIA;CHIROPTERA;PHYLLOSTOMIDAE;ARTIBEUS JAMAICENSIS LEACH, 1821;SIERRA NEVADA DE SANTA MARTA;2433272;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;135;166;72;158;223;237;452;0;689;718;532;492;453;279;325;270;373;54
ANIMALIA;CHORDATA;MAMMALIA;CHIROPTERA;PHYLLOSTOMIDAE;ARTIBEUS LITURATUS (OLFERS, 1818);SIERRA NEVADA DE SANTA MARTA;2433270;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;135;166;72;158;223;237;452;0;689;718;532;492;453;279;325;270;373;54
ANIMALIA;CHORDATA;MAMMALIA;CHIROPTERA;PHYLLOSTOMIDAE;CAROLLIA BREVICAUDA (SCHINZ, 1821);TAMA;2433177;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1047;270;518;178;250;171;47;0;0;0;0;0;0;0;3;12;0;0;0;0
ANIMALIA;CHORDATA;MAMMALIA;CHIROPTERA;PHYLLOSTOMIDAE;CAROLLIA PERSPICILLATA (LINNAEUS, 1758);SIERRA NEVADA DE SANTA MARTA;2433176;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;135;166;72;158;223;237;452;0;689;718;532;492;453;279;325;270;373;54
ANIMALIA;CHORDATA;MAMMALIA;CHIROPTERA;PHYLLOSTOMIDAE;CAROLLIA PERSPICILLATA (LINNAEUS, 1758);TAMA;2433176;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1047;270;518;178;250;171;47;0;0;0;0;0;0;0;3;12;0;0;0;0
ANIMALIA;CHORDATA;MAMMALIA;CHIROPTERA;PHYLLOSTOMIDAE;ENCHISTHENES HARTII (THOMAS, 1892);SIERRA NEVADA DE SANTA MARTA;4265356;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;135;166;72;158;223;237;452;0;689;718;532;492;453;279;325;270;373;54
ANIMALIA;CHORDATA;MAMMALIA;CHIROPTERA;PHYLLOSTOMIDAE;LEPTONYCTERIS CURASOAE MILLER, 1900;TAYRONA;2433316;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1937;62191;73725;46753;34977;37307;82345;82514;108402;92193;91001;161157;208712;211000;228513;238332;242943;293525;304575;126629
ANIMALIA;CHORDATA;MAMMALIA;CHIROPTERA;PHYLLOSTOMIDAE;LONCHOPHYLLA ROBUSTA MILLER, 1912;SIERRA NEVADA DE SANTA MARTA;2433224;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;135;166;72;158;223;237;452;0;689;718;532;492;453;279;325;270;373;54
ANIMALIA;CHORDATA;MAMMALIA;CHIROPTERA;PHYLLOSTOMIDAE;PHYLLOSTOMUS DISCOLOR WAGNER, 1843;SIERRA NEVADA DE SANTA MARTA;2433280;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;135;166;72;158;223;237;452;0;689;718;532;492;453;279;325;270;373;54
