,class,family,key,kingdom,locality,month,order,phylum,scientificname,taxonkey,year,direccion_territorial,total_1995,total_1996,total_1997,total_1998,total_1999,total_2000,total_2001,total_2002,total_2003,total_2004,total_2005,total_2006,total_2007,total_2008,total_2009,total_2010,total_2011,total_2012,total_2013,total_2014
17,BRYOPSIDA,NECKERACEAE,IGUAQUE,PLANTAE,IGUAQUE,6.0,LEUCODONTALES,BRYOPHYTA,THAMNOBRYUM FASCICULATUM (HEDW.) I.SASTRE,9043960,2001.0, ANDES NORORIENTALES,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
18,BRYOPSIDA,NECKERACEAE,IGUAQUE,PLANTAE,IGUAQUE,6.0,LEUCODONTALES,BRYOPHYTA,THAMNOBRYUM FASCICULATUM (HEDW.) I.SASTRE,9043960,2001.0, ANDES NORORIENTALES,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
19,JUNGERMANNIOPSIDA,LEJEUNEACEAE,IGUAQUE,PLANTAE,IGUAQUE,7.0,PORELLALES,MARCHANTIOPHYTA,TAXILEJEUNEA PTERIGONIA (LEHM. & LINDENB.) SCHIFFN.,8311593,2001.0, ANDES NORORIENTALES,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
20,BRYOPSIDA,CALYMPERACEAE,IGUAQUE,PLANTAE,IGUAQUE,6.0,POTTIALES,BRYOPHYTA,"SYRRHOPODON GAUDICHAUDII MONTAGNE, 1834",2670289,2001.0, ANDES NORORIENTALES,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
21,BRYOPSIDA,CALYMPERACEAE,IGUAQUE,PLANTAE,IGUAQUE,6.0,POTTIALES,BRYOPHYTA,"SYRRHOPODON GAUDICHAUDII MONTAGNE, 1834",2670289,2001.0, ANDES NORORIENTALES,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
22,JUNGERMANNIOPSIDA,ADELANTHACEAE,IGUAQUE,PLANTAE,IGUAQUE,7.0,JUNGERMANNIALES,MARCHANTIOPHYTA,SYZYGIELLA PERFOLIATA (SW.) SPRUCE,2689032,2001.0, ANDES NORORIENTALES,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
23,BRYOPSIDA,METEORIACEAE,IGUAQUE,PLANTAE,IGUAQUE,12.0,LEUCODONTALES,BRYOPHYTA,SQUAMIDIUM,8079242,2002.0, ANDES NORORIENTALES,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
24,SPHAGNOPSIDA,SPHAGNACEAE,IGUAQUE,PLANTAE,IGUAQUE,12.0,SPHAGNALES,BRYOPHYTA,SPHAGNACEAE,4673,2002.0, ANDES NORORIENTALES,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
25,LILIOPSIDA,CYCLANTHACEAE,IGUAQUE,PLANTAE,IGUAQUE,12.0,PANDANALES,TRACHEOPHYTA,SPHAERADENIA HARLING,2861194,2002.0, ANDES NORORIENTALES,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
26,LILIOPSIDA,CYCLANTHACEAE,IGUAQUE,PLANTAE,IGUAQUE,12.0,PANDANALES,TRACHEOPHYTA,SPHAERADENIA HARLING,2861194,2002.0, ANDES NORORIENTALES,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
