,class,family,key,kingdom,locality,month,order,phylum,scientificname,taxonkey,year,direccion_territorial,total_1995,total_1996,total_1997,total_1998,total_1999,total_2000,total_2001,total_2002,total_2003,total_2004,total_2005,total_2006,total_2007,total_2008,total_2009,total_2010,total_2011,total_2012,total_2013,total_2014
190,JUNGERMANNIOPSIDA,LOPHOCOLEACEAE,IGUAQUE,PLANTAE,IGUAQUE,6.0,JUNGERMANNIALES,MARCHANTIOPHYTA,LEPTOSCYPHUS AMPHIBOLIUS (NEES) GROLLE,8429528,2001.0, ANDES NORORIENTALES,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
191,JUNGERMANNIOPSIDA,LEJEUNEACEAE,IGUAQUE,PLANTAE,IGUAQUE,6.0,PORELLALES,MARCHANTIOPHYTA,LEUCOLEJEUNEA XANTHOCARPA (LEHM. & LINDENB.) A.EVANS,4276745,2001.0, ANDES NORORIENTALES,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
192,JUNGERMANNIOPSIDA,LOPHOCOLEACEAE,IGUAQUE,PLANTAE,IGUAQUE,6.0,JUNGERMANNIALES,MARCHANTIOPHYTA,LEPTOSCYPHUS PORPHYRIUS (NEES) GROLLE,8150351,2001.0, ANDES NORORIENTALES,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
193,JUNGERMANNIOPSIDA,LEPIDOZIACEAE,IGUAQUE,PLANTAE,IGUAQUE,12.0,JUNGERMANNIALES,MARCHANTIOPHYTA,LEPIDOZIACEAE,2280,2002.0, ANDES NORORIENTALES,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
194,BRYOPSIDA,DALTONIACEAE,IGUAQUE,PLANTAE,IGUAQUE,6.0,HOOKERIALES,BRYOPHYTA,"LEPIDOPILUM SCABRISETUM STEERE, 1948",2669395,2001.0, ANDES NORORIENTALES,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
195,JUNGERMANNIOPSIDA,LEJEUNEACEAE,IGUAQUE,PLANTAE,IGUAQUE,6.0,PORELLALES,MARCHANTIOPHYTA,LEJEUNEACEAE,6118,2001.0, ANDES NORORIENTALES,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
196,JUNGERMANNIOPSIDA,LEJEUNEACEAE,IGUAQUE,PLANTAE,IGUAQUE,6.0,PORELLALES,MARCHANTIOPHYTA,LEJEUNEACEAE,6118,2001.0, ANDES NORORIENTALES,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
197,JUNGERMANNIOPSIDA,LEJEUNEACEAE,IGUAQUE,PLANTAE,IGUAQUE,12.0,PORELLALES,MARCHANTIOPHYTA,LEJEUNEACEAE,6118,2002.0, ANDES NORORIENTALES,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
198,JUNGERMANNIOPSIDA,LEJEUNEACEAE,IGUAQUE,PLANTAE,IGUAQUE,12.0,PORELLALES,MARCHANTIOPHYTA,LEJEUNEACEAE,6118,2002.0, ANDES NORORIENTALES,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
199,JUNGERMANNIOPSIDA,LEPIDOZIACEAE,IGUAQUE,PLANTAE,IGUAQUE,6.0,JUNGERMANNIALES,MARCHANTIOPHYTA,LEPIDOZIA CUPRESSINA (SW.) LINDENB.,7946536,2001.0, ANDES NORORIENTALES,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
200,BRYOPSIDA,DALTONIACEAE,IGUAQUE,PLANTAE,IGUAQUE,6.0,HOOKERIALES,BRYOPHYTA,"LEPIDOPILUM PALLIDO-NITENS PARIS, 1900",2669411,2001.0, ANDES NORORIENTALES,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
201,JUNGERMANNIOPSIDA,LEJEUNEACEAE,IGUAQUE,PLANTAE,IGUAQUE,6.0,PORELLALES,MARCHANTIOPHYTA,LEJEUNEA CANCELLATA NEES & MONT.,7977547,2001.0, ANDES NORORIENTALES,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
202,JUNGERMANNIOPSIDA,LEJEUNEACEAE,IGUAQUE,PLANTAE,IGUAQUE,6.0,PORELLALES,MARCHANTIOPHYTA,LEJEUNEA REFLEXISTIPULA (LEHM. & LINDENB.) GOTTSCHE,7910222,2001.0, ANDES NORORIENTALES,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
203,JUNGERMANNIOPSIDA,LEJEUNEACEAE,IGUAQUE,PLANTAE,IGUAQUE,6.0,PORELLALES,MARCHANTIOPHYTA,LEJEUNEA FLAVA (SW.) NEES,2688906,2001.0, ANDES NORORIENTALES,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
204,MAGNOLIOPSIDA,ROSACEAE,IGUAQUE,PLANTAE,IGUAQUE,9.0,ROSALES,TRACHEOPHYTA,LACHEMILLA FULVESCENS (ROTHM.) ROTHM.,3025349,2003.0, ANDES NORORIENTALES,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
205,MAGNOLIOPSIDA,ASTERACEAE,IGUAQUE,PLANTAE,IGUAQUE,12.0,ASTERALES,TRACHEOPHYTA,JUNGIA FERRUGINEA L.F.,5402219,2002.0, ANDES NORORIENTALES,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
206,JUNGERMANNIOPSIDA,JAMESONIELLACEAE,IGUAQUE,PLANTAE,IGUAQUE,12.0,JUNGERMANNIALES,MARCHANTIOPHYTA,JAMESONIELLACEAE,2281,2002.0, ANDES NORORIENTALES,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
207,JUNGERMANNIOPSIDA,JUNGERMANNIACEAE,IGUAQUE,PLANTAE,IGUAQUE,6.0,JUNGERMANNIALES,MARCHANTIOPHYTA,JUNGERMANNIA OVATOTRIGONA (STEPH.) GROLLE,7525594,2001.0, ANDES NORORIENTALES,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
208,JUNGERMANNIOPSIDA,BALANTIOPSIDACEAE,IGUAQUE,PLANTAE,IGUAQUE,6.0,JUNGERMANNIALES,MARCHANTIOPHYTA,ISOTACHIS MULTICEPS (LINDENB. & GOTTSCHE) GOTTSCHE,7578028,2001.0, ANDES NORORIENTALES,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
209,MAGNOLIOPSIDA,AQUIFOLIACEAE,IGUAQUE,PLANTAE,IGUAQUE,12.0,AQUIFOLIALES,TRACHEOPHYTA,ILEX L.,3169013,2002.0, ANDES NORORIENTALES,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
210,BRYOPSIDA,HYPNACEAE,IGUAQUE,PLANTAE,IGUAQUE,12.0,HYPNALES,BRYOPHYTA,"HYPNUM AMABILE HAMPE, 1869",2682016,2002.0, ANDES NORORIENTALES,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
211,BRYOPSIDA,HYPNACEAE,IGUAQUE,PLANTAE,IGUAQUE,6.0,HYPNALES,BRYOPHYTA,"HYPNUM AMABILE HAMPE, 1869",2682016,2001.0, ANDES NORORIENTALES,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
212,BRYOPSIDA,HYPNACEAE,IGUAQUE,PLANTAE,IGUAQUE,6.0,HYPNALES,BRYOPHYTA,"HYPNUM AMABILE HAMPE, 1869",2682016,2001.0, ANDES NORORIENTALES,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
213,MAGNOLIOPSIDA,ASTERACEAE,IGUAQUE,PLANTAE,IGUAQUE,4.0,ASTERALES,TRACHEOPHYTA,HYPOCHAERIS RADICATA L.,3093702,2000.0, ANDES NORORIENTALES,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
214,BRYOPSIDA,HOOKERIACEAE,IGUAQUE,PLANTAE,IGUAQUE,6.0,HOOKERIALES,BRYOPHYTA,HYPOPTERYGIUM TAMARISCINUM (HEDW.) BRID.,8689931,2001.0, ANDES NORORIENTALES,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
215,BRYOPSIDA,LEPTODONTACEAE,IGUAQUE,PLANTAE,IGUAQUE,6.0,LEUCODONTALES,BRYOPHYTA,LEPTODON MOHR,2678421,2001.0, ANDES NORORIENTALES,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
216,MAGNOLIOPSIDA,APIACEAE,IGUAQUE,PLANTAE,IGUAQUE,12.0,APIALES,TRACHEOPHYTA,HYDROCOTYLE L.,3034601,2002.0, ANDES NORORIENTALES,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
217,BRYOPSIDA,HOOKERIACEAE,IGUAQUE,PLANTAE,IGUAQUE,6.0,HOOKERIALES,BRYOPHYTA,"HOOKERIA ACUTIFOLIA W.J.HOOKER & GREVILLE, 1825",5280016,2001.0, ANDES NORORIENTALES,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
218,BRYOPSIDA,HOOKERIACEAE,IGUAQUE,PLANTAE,IGUAQUE,12.0,HOOKERIALES,BRYOPHYTA,"HOOKERIA ACUTIFOLIA W.J.HOOKER & GREVILLE, 1825",5280016,2002.0, ANDES NORORIENTALES,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
219,LYCOPODIOPSIDA,LYCOPODIACEAE,IGUAQUE,PLANTAE,IGUAQUE,4.0,LYCOPODIALES,TRACHEOPHYTA,HUPERZIA BERNH.,2688450,2000.0, ANDES NORORIENTALES,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
220,JUNGERMANNIOPSIDA,HERBERTACEAE,IGUAQUE,PLANTAE,IGUAQUE,6.0,JUNGERMANNIALES,MARCHANTIOPHYTA,HERBERTACEAE,2282,2001.0, ANDES NORORIENTALES,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
221,MAGNOLIOPSIDA,CHLORANTHACEAE,IGUAQUE,PLANTAE,IGUAQUE,12.0,CHLORANTHALES,TRACHEOPHYTA,HEDYOSMUM CRENATUM OCCHIONI,3750506,2002.0, ANDES NORORIENTALES,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
222,JUNGERMANNIOPSIDA,HERBERTACEAE,IGUAQUE,PLANTAE,IGUAQUE,12.0,JUNGERMANNIALES,MARCHANTIOPHYTA,HERBERTACEAE,2282,2002.0, ANDES NORORIENTALES,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
223,MAGNOLIOPSIDA,GENTIANACEAE,IGUAQUE,PLANTAE,IGUAQUE,6.0,GENTIANALES,TRACHEOPHYTA,HALENIA ASCLEPIADEA G.DON,5596294,2001.0, ANDES NORORIENTALES,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
224,MAGNOLIOPSIDA,GENTIANACEAE,IGUAQUE,PLANTAE,IGUAQUE,4.0,GENTIANALES,TRACHEOPHYTA,HALENIA ASCLEPIADEA G.DON,5596294,2000.0, ANDES NORORIENTALES,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
225,MAGNOLIOPSIDA,GENTIANACEAE,IGUAQUE,PLANTAE,IGUAQUE,12.0,GENTIANALES,TRACHEOPHYTA,HALENIA BORKH.,3169876,2002.0, ANDES NORORIENTALES,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
226,MAGNOLIOPSIDA,ASTERACEAE,IGUAQUE,PLANTAE,IGUAQUE,12.0,ASTERALES,TRACHEOPHYTA,GNAPHALIUM L.,5390705,2002.0, ANDES NORORIENTALES,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
227,MAGNOLIOPSIDA,ASTERACEAE,IGUAQUE,PLANTAE,IGUAQUE,6.0,ASTERALES,TRACHEOPHYTA,GAMOCHAETA PARAMORA (BLAKE) A.A.ANDERBERG,3139682,2001.0, ANDES NORORIENTALES,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
228,MAGNOLIOPSIDA,GENTIANACEAE,IGUAQUE,PLANTAE,IGUAQUE,6.0,GENTIANALES,TRACHEOPHYTA,GENTIANELLA CORYMBOSA (KUNTH) WEAVER & RUDENBERG,3843335,2001.0, ANDES NORORIENTALES,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
229,MAGNOLIOPSIDA,GENTIANACEAE,IGUAQUE,PLANTAE,IGUAQUE,12.0,GENTIANALES,TRACHEOPHYTA,GENTIANELLA MOENCH,3169845,2002.0, ANDES NORORIENTALES,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
230,MAGNOLIOPSIDA,RUBIACEAE,IGUAQUE,PLANTAE,IGUAQUE,7.0,GENTIANALES,TRACHEOPHYTA,GALIUM L.,2913027,2002.0, ANDES NORORIENTALES,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
231,JUNGERMANNIOPSIDA,LEJEUNEACEAE,IGUAQUE,PLANTAE,IGUAQUE,6.0,PORELLALES,MARCHANTIOPHYTA,FRULLANOIDES DENSIFOLIA RADDI,2688919,2001.0, ANDES NORORIENTALES,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
232,JUNGERMANNIOPSIDA,FRULLANIACEAE,IGUAQUE,PLANTAE,IGUAQUE,6.0,PORELLALES,MARCHANTIOPHYTA,FRULLANIA ARECAE (SPRENG.) GOTTSCHE,7714301,2001.0, ANDES NORORIENTALES,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
233,JUNGERMANNIOPSIDA,FRULLANIACEAE,IGUAQUE,PLANTAE,IGUAQUE,6.0,PORELLALES,MARCHANTIOPHYTA,FRULLANIA BRASILIENSIS RADDI,4277005,2001.0, ANDES NORORIENTALES,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
234,JUNGERMANNIOPSIDA,FRULLANIACEAE,IGUAQUE,PLANTAE,IGUAQUE,6.0,PORELLALES,MARCHANTIOPHYTA,FRULLANIA BRASILIENSIS RADDI,4277005,2001.0, ANDES NORORIENTALES,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
235,JUNGERMANNIOPSIDA,FRULLANIACEAE,IGUAQUE,PLANTAE,IGUAQUE,6.0,PORELLALES,MARCHANTIOPHYTA,FRULLANIA BRASILIENSIS RADDI,4277005,2001.0, ANDES NORORIENTALES,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
236,JUNGERMANNIOPSIDA,FRULLANIACEAE,IGUAQUE,PLANTAE,IGUAQUE,6.0,PORELLALES,MARCHANTIOPHYTA,FRULLANIA INTUMESCENS (LEHM. & LINDENB.) LEHM. & LINDENB.,7950642,2001.0, ANDES NORORIENTALES,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
237,JUNGERMANNIOPSIDA,FRULLANIACEAE,IGUAQUE,PLANTAE,IGUAQUE,12.0,PORELLALES,MARCHANTIOPHYTA,FRULLANIACEAE,2269,2002.0, ANDES NORORIENTALES,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
238,JUNGERMANNIOPSIDA,FRULLANIACEAE,IGUAQUE,PLANTAE,IGUAQUE,12.0,PORELLALES,MARCHANTIOPHYTA,FRULLANIACEAE,2269,2002.0, ANDES NORORIENTALES,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
239,BRYOPSIDA,FISSIDENTACEAE,IGUAQUE,PLANTAE,IGUAQUE,12.0,FISSIDENTALES,BRYOPHYTA,FISSIDENS HEDW.,2673216,2002.0, ANDES NORORIENTALES,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
240,BRYOPSIDA,FISSIDENTACEAE,IGUAQUE,PLANTAE,IGUAQUE,6.0,FISSIDENTALES,BRYOPHYTA,"FISSIDENS ASPLENIOIDES HEDWIG, 1801",5283352,2001.0, ANDES NORORIENTALES,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
241,LILIOPSIDA,POACEAE,IGUAQUE,PLANTAE,IGUAQUE,10.0,POALES,TRACHEOPHYTA,FESTUCA CLEEFIANA E.B.ALEXEEV,4126308,1998.0, ANDES NORORIENTALES,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
242,LILIOPSIDA,POACEAE,IGUAQUE,PLANTAE,IGUAQUE,10.0,POALES,TRACHEOPHYTA,FESTUCA CLEEFIANA E.B.ALEXEEV,4126308,1998.0, ANDES NORORIENTALES,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
243,LILIOPSIDA,POACEAE,IGUAQUE,PLANTAE,IGUAQUE,10.0,POALES,TRACHEOPHYTA,FESTUCA TOCA STANA�A­K,4112427,1998.0, ANDES NORORIENTALES,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
244,BRYOPSIDA,BRACHYTHECIACEAE,IGUAQUE,PLANTAE,IGUAQUE,6.0,HYPNALES,BRYOPHYTA,"EURHYNCHIUM PRAELONGUM W.P.SCHIMPER, 1854",2680229,2001.0, ANDES NORORIENTALES,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
245,BRYOPSIDA,FISSIDENTACEAE,IGUAQUE,PLANTAE,IGUAQUE,6.0,FISSIDENTALES,BRYOPHYTA,"FISSIDENS CURVATUS HORNSCHUCH, 1841",5282989,2001.0, ANDES NORORIENTALES,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
246,BRYOPSIDA,BRACHYTHECIACEAE,IGUAQUE,PLANTAE,IGUAQUE,6.0,HYPNALES,BRYOPHYTA,"EURHYNCHIUM PRAELONGUM W.P.SCHIMPER, 1854",2680229,2001.0, ANDES NORORIENTALES,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
247,BRYOPSIDA,FISSIDENTACEAE,IGUAQUE,PLANTAE,IGUAQUE,6.0,FISSIDENTALES,BRYOPHYTA,"FISSIDENS PERFALCATUS BROTHERUS, 1900",5282999,2001.0, ANDES NORORIENTALES,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
248,BRYOPSIDA,BRACHYTHECIACEAE,IGUAQUE,PLANTAE,IGUAQUE,6.0,HYPNALES,BRYOPHYTA,"EURHYNCHIUM PRAELONGUM W.P.SCHIMPER, 1854",2680229,2001.0, ANDES NORORIENTALES,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
249,MAGNOLIOPSIDA,ASTERACEAE,IGUAQUE,PLANTAE,IGUAQUE,6.0,ASTERALES,TRACHEOPHYTA,ESPELETIA BOYACENSIS CUATREC.,3105089,2001.0, ANDES NORORIENTALES,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
250,MAGNOLIOPSIDA,ASTERACEAE,IGUAQUE,PLANTAE,IGUAQUE,4.0,ASTERALES,TRACHEOPHYTA,ESPELETIA BOYACENSIS CUATREC.,3105089,2000.0, ANDES NORORIENTALES,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
251,MAGNOLIOPSIDA,ASTERACEAE,IGUAQUE,PLANTAE,IGUAQUE,4.0,ASTERALES,TRACHEOPHYTA,ESPELETIA MURILLOI CUATREC. & CUATREC.,3105074,2000.0, ANDES NORORIENTALES,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
252,MAGNOLIOPSIDA,ASTERACEAE,IGUAQUE,PLANTAE,IGUAQUE,12.0,ASTERALES,TRACHEOPHYTA,ESPELETIA MUTIS EX HUMB. & BONPL.,3105048,2002.0, ANDES NORORIENTALES,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
253,MAGNOLIOPSIDA,ASTERACEAE,IGUAQUE,PLANTAE,IGUAQUE,12.0,ASTERALES,TRACHEOPHYTA,ESPELETIA MUTIS EX HUMB. & BONPL.,3105048,2002.0, ANDES NORORIENTALES,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
254,BRYOPSIDA,ENTODONTACEAE,IGUAQUE,PLANTAE,IGUAQUE,6.0,HYPNALES,BRYOPHYTA,ENTODON MACROPODUS (HEDW.) MA¼LL.HAL.,8380625,2001.0, ANDES NORORIENTALES,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
255,LILIOPSIDA,CYPERACEAE,IGUAQUE,PLANTAE,IGUAQUE,12.0,POALES,TRACHEOPHYTA,ELEOCHARIS R.BR.,2716791,2002.0, ANDES NORORIENTALES,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
256,BRYOPSIDA,AMBLYSTEGIACEAE,IGUAQUE,PLANTAE,IGUAQUE,6.0,HYPNALES,BRYOPHYTA,"DREPANOCLADUS SORDIDUS HEDENA¤S, 1998",5283610,2001.0, ANDES NORORIENTALES,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
257,BRYOPSIDA,HYPNACEAE,IGUAQUE,PLANTAE,IGUAQUE,6.0,HYPNALES,BRYOPHYTA,"ECTROPOTHECIUM LEPTOCHAETON W.R.BUCK, 1983",2682237,2001.0, ANDES NORORIENTALES,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
258,MAGNOLIOPSIDA,WINTERACEAE,IGUAQUE,PLANTAE,IGUAQUE,7.0,CANELLALES,TRACHEOPHYTA,DRIMYS FORST.,3153974,2002.0, ANDES NORORIENTALES,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
259,MARCHANTIOPSIDA,DUMORTIERACEAE,IGUAQUE,PLANTAE,IGUAQUE,6.0,MARCHANTIALES,MARCHANTIOPHYTA,DUMORTIERA HIRSUTA (SW.) NEES,2688613,2001.0, ANDES NORORIENTALES,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
260,MARCHANTIOPSIDA,DUMORTIERACEAE,IGUAQUE,PLANTAE,IGUAQUE,12.0,MARCHANTIALES,MARCHANTIOPHYTA,DUMORTIERA HIRSUTA (SW.) NEES,2688613,2002.0, ANDES NORORIENTALES,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
261,BRYOPSIDA,DITRICHACEAE,IGUAQUE,PLANTAE,IGUAQUE,12.0,DICRANALES,BRYOPHYTA,DITRICHACEAE,8743,2002.0, ANDES NORORIENTALES,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
262,MAGNOLIOPSIDA,ASTERACEAE,IGUAQUE,PLANTAE,IGUAQUE,12.0,ASTERALES,TRACHEOPHYTA,DIPLOSTEPHIUM PHYLICOIDES WEDD.,3090681,2002.0, ANDES NORORIENTALES,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
263,MAGNOLIOPSIDA,ERICACEAE,IGUAQUE,PLANTAE,IGUAQUE,12.0,ERICALES,TRACHEOPHYTA,DISTERIGMA NIED.,7328392,2002.0, ANDES NORORIENTALES,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
264,BRYOPSIDA,DITRICHACEAE,IGUAQUE,PLANTAE,IGUAQUE,6.0,DICRANALES,BRYOPHYTA,"DITRICHUM DIFFICILE FLEISCHER, 1904",5282321,2001.0, ANDES NORORIENTALES,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
265,BRYOPSIDA,DICRANACEAE,IGUAQUE,PLANTAE,IGUAQUE,6.0,DICRANALES,BRYOPHYTA,"DICRANELLA HILARIANA MITTEN, 1869",5282158,2001.0, ANDES NORORIENTALES,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
266,BRYOPSIDA,DICRANACEAE,IGUAQUE,PLANTAE,IGUAQUE,6.0,DICRANALES,BRYOPHYTA,"DICRANELLA DITISSIMA MITTEN, 1869",5282089,2001.0, ANDES NORORIENTALES,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
