,direccion_territorial,area_protegida,mes,adultos_nacionales_2011,ninos_y_estudiantes_2011,extranjeros_2011,extranjeros_residentes_2011,ninos_residentes_2011,adultos_residentes_2011,ninos_excentos_no_residentes_2011,adultos_excentos_no_residentes_2011,adultos_nacionales_2012,ninos_y_estudiantes_2012,extranjeros_2012,extranjeros_residentes_2012,ninos_residentes_2012,adultos_residentes_2012,ninos_excentos_no_residentes_2012,adultos_excentos_no_residentes_2012,adultos_nacionales_2013,ninos_y_estudiantes_2013,extranjeros_2013,extranjeros_residentes_2013,ninos_residentes_2013,adultos_residentes_2013,ninos_excentos_no_residentes_2013,adultos_excentos_no_residentes_2013,adultos_nacionales_2014,ninos_y_estudiantes_2014,extranjeros_2014,extranjeros_residentes_2014,ninos_residentes_2014,adultos_residentes_2014,ninos_excentos_no_residentes_2014,adultos_excentos_no_residentes_2014,total_1995,total_1996,total_1997,total_1998,total_1999,total_2000,total_2001,total_2002,total_2003,total_2004,total_2005,total_2006,total_2007,total_2008,total_2009,total_2010,total_2011,total_2012,total_2013,total_2014
151, CARIBE, TAYRONA,ABRIL,15621,3420,3959,43,0,0,333,167,16783,3410,4824,26,0,0,1184,376,7340,1033,4413,17,0,0,574,0,16940,2971,5400,211,1119,469,16,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20570,17393,23543,26603,13377,27232
152,  ORINOQUIA, SUMAPAZ,JULIO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153, ANDES OCCIDENTALES, CUEVA DE LOS GUACHAROS,DICIEMBRE,50,0,0,0,0,0,0,5,17,71,2,0,0,0,0,0,11,19,3,0,0,0,39,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,48,55,90,74,0
154,  ORINOQUIA, TUPARRO,ABRIL,12,1,0,0,0,0,0,0,19,11,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,13,32,0,0
156,  ORINOQUIA, SUMAPAZ,ABRIL,34,0,0,0,0,0,0,0,3,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,53,0,0
157, ANDES OCCIDENTALES, ISLA DE LA COROTA,MAYO,1246,0,55,0,0,0,0,0,1667,0,62,0,0,0,0,0,1646,0,88,0,0,0,0,0,1798,0,79,0,0,0,134,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1845,1667,1301,1729,1734,0
158, ANDES NORORIENTALES, ESTORAQUES,JULIO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,314,364,0,0,0,0
159, PACIFICO, UTRIA,NOVIEMBRE,38,29,5,4,0,0,0,2,43,8,8,1,0,0,0,5,23,48,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,65,74,0
160, ANDES OCCIDENTALES, NEVADOS,DICIEMBRE,968,603,250,15,0,0,0,49,36,0,0,0,0,0,0,0,1368,982,120,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5109,2108,1885,36,2517,0
161, CARIBE, TAYRONA,OCTUBRE,10447,2462,2419,13,0,0,1053,416,11326,2975,2496,20,0,0,823,510,11170,2191,3131,21,0,0,0,1378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15841,18527,16810,18150,17891,0
163,  ORINOQUIA, SUMAPAZ,DICIEMBRE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0
164, ANDES NORORIENTALES, IGUAQUE,JUNIO,141,151,28,14,0,0,0,0,175,225,49,11,2,21,4,12,197,127,39,0,0,0,0,3,224,180,55,2,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,470,297,334,499,366,0
165, CARIBE, MACUIRA,AGOSTO,0,0,0,0,0,0,0,8,46,0,14,0,0,0,0,0,65,0,15,0,0,0,0,0,25,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,60,80,0
168, PACIFICO, UTRIA,MAYO,12,10,0,0,0,0,0,10,15,2,0,0,0,0,5,13,29,6,5,0,0,45,0,0,28,63,1,0,30,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,157,32,35,85,0
169, PACIFICO, UTRIA,ENERO,243,83,20,7,0,0,0,0,110,47,6,0,0,5,0,6,220,36,31,10,0,0,0,30,244,120,15,0,0,3,0,4,2628,4223,4478,4358,2783,2501,2217,1043,0,0,0,0,538,821,200,303,353,174,327,386
171, ANDES NORORIENTALES, EL COCUY,JUNIO,82,139,34,11,0,36,0,0,154,279,28,17,0,78,0,0,488,379,36,37,0,150,6,0,549,386,84,20,0,147,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,302,200,302,556,1096,0
173, CARIBE,ISLA DE SALAMANCA,FEBRERO,5,1,3,0,0,0,0,0,18,0,27,8,0,0,5,8,16,3,10,0,0,0,12,0,23,0,26,10,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,9,66,41,71
174,  ORINOQUIA, TUPARRO,MARZO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0
175, CARIBE, COLORADOS,NOVIEMBRE,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,84,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,1,0,13,86,0
176, AMAZONIA, AMACAYACU,NOVIEMBRE,690,184,93,21,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1014,1033,1023,0,0,0
180,  ORINOQUIA, SUMAPAZ,JUNIO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182, CARIBE, SIERRA NEVADA,OCTUBRE,0,59,2,0,0,0,0,0,1,12,7,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,61,20,46,0
185, ANDES OCCIDENTALES, OTUN QUIMBAYA,NOVIEMBRE,23,0,24,0,0,0,0,183,88,52,51,0,0,0,0,61,58,145,18,0,0,0,104,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,318,230,252,514,0
187,  ORINOQUIA, CHINGAZA,OCTUBRE,475,88,7,1,0,18,0,174,583,28,23,3,9,4,410,68,453,827,28,23,49,55,12,278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1195,1300,763,1128,1725,0
188, CARIBE, MACUIRA,FEBRERO,11,44,2,0,0,0,0,0,71,0,6,0,0,0,0,0,50,0,7,0,0,0,0,0,38,39,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,77,57,98
189, CARIBE, CORALES DEL ROSARIO,JULIO,31310,0,2,0,0,0,0,0,45808,0,0,0,0,0,0,0,41873,0,0,0,0,0,0,0,39031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33452,35862,31312,45808,41873,0
190, ANDES OCCIDENTALES, NEVADOS,JUNIO,2911,1537,174,27,0,0,0,344,0,0,0,0,0,0,0,0,1292,726,57,0,0,0,0,88,2342,1686,61,0,0,0,45,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7550,5761,4993,0,2163,0
193, CARIBE,ISLA DE SALAMANCA,MARZO,2,0,15,0,0,0,0,0,128,3,35,5,13,23,0,0,27,72,15,1,0,0,3,31,35,204,22,3,0,0,5,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,0,17,207,149,287
196, ANDES NORORIENTALES, ESTORAQUES,ABRIL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,794,981,0,0,0,0
197, ANDES NORORIENTALES, ESTORAQUES,MAYO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297,262,0,0,0,0
200, ANDES NORORIENTALES, EL COCUY,ABRIL,170,283,56,8,0,30,0,0,535,447,20,22,0,209,0,0,19,116,19,4,0,6,0,0,1264,822,75,56,405,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,873,770,547,1233,164,2634
201, ANDES NORORIENTALES, PISBA,ENERO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,101,122,182,48,27,42,57,3,0,0,58,150,0,0,0,0,0
202, PACIFICO, GORGONA,OCTUBRE,202,263,11,4,0,81,4,3,158,90,5,1,0,0,0,2,163,11,3,6,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,686,667,568,256,193,0
204, CARIBE, COLORADOS,AGOSTO,0,0,0,0,0,0,0,0,142,0,0,0,0,0,3,7,17,0,7,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,152,24,0
205, CARIBE, MACUIRA,OCTUBRE,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,11,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,13,0
207, CARIBE, FLAMENCOS,AGOSTO,181,0,22,0,0,0,0,0,42,115,0,0,0,0,0,0,475,221,17,0,0,0,0,0,182,51,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,11,203,157,713,0
208, CARIBE, COLORADOS,DICIEMBRE,5,0,4,0,0,0,0,0,12,1,0,0,0,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,9,13,11,0
209, ANDES NORORIENTALES, PISBA,JUNIO,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,17,0,8,0
214, ANDES NORORIENTALES, EL COCUY,SEPTIEMBRE,9,99,26,1,0,8,0,0,23,108,30,8,0,2,0,7,45,60,25,16,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,67,143,178,150,0
215, ANDES NORORIENTALES, GUANENTA - ALTO RIO FONCE,JULIO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,410,317,0,0,0,0
216, CARIBE, SIERRA NEVADA,NOVIEMBRE,6,25,12,0,0,0,0,0,0,58,0,0,0,0,0,0,36,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,33,43,58,72,0
217, ANDES OCCIDENTALES, ISLA DE LA COROTA,ENERO,1896,0,85,0,0,0,0,0,7704,0,230,0,0,0,0,0,9502,0,253,0,0,0,0,0,7950,0,140,0,0,0,0,0,45819,16830,17768,17267,12201,9305,15644,15405,7348,0,7453,30778,29870,25921,5557,7313,1981,7934,9755,8090
