,direccion_territorial,area_protegida,mes,adultos_nacionales_2011,ninos_y_estudiantes_2011,extranjeros_2011,extranjeros_residentes_2011,ninos_residentes_2011,adultos_residentes_2011,ninos_excentos_no_residentes_2011,adultos_excentos_no_residentes_2011,adultos_nacionales_2012,ninos_y_estudiantes_2012,extranjeros_2012,extranjeros_residentes_2012,ninos_residentes_2012,adultos_residentes_2012,ninos_excentos_no_residentes_2012,adultos_excentos_no_residentes_2012,adultos_nacionales_2013,ninos_y_estudiantes_2013,extranjeros_2013,extranjeros_residentes_2013,ninos_residentes_2013,adultos_residentes_2013,ninos_excentos_no_residentes_2013,adultos_excentos_no_residentes_2013,adultos_nacionales_2014,ninos_y_estudiantes_2014,extranjeros_2014,extranjeros_residentes_2014,ninos_residentes_2014,adultos_residentes_2014,ninos_excentos_no_residentes_2014,adultos_excentos_no_residentes_2014,total_1995,total_1996,total_1997,total_1998,total_1999,total_2000,total_2001,total_2002,total_2003,total_2004,total_2005,total_2006,total_2007,total_2008,total_2009,total_2010,total_2011,total_2012,total_2013,total_2014
272, CARIBE, CORALES DEL ROSARIO,OCTUBRE,23736,0,0,0,0,0,0,0,32165,0,0,0,0,0,0,0,31372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24885,26508,23736,32165,31372,0
274, ANDES OCCIDENTALES, GALERAS,AGOSTO,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,2,17,0
275, PACIFICO, MALPELO,JUNIO,62,0,53,0,0,0,0,0,0,0,23,0,0,0,0,14,0,0,22,0,0,0,0,0,14,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,60,115,37,22,0
276, PACIFICO, GORGONA,FEBRERO,95,0,90,0,0,0,0,0,72,0,5,0,0,28,0,0,30,1,30,0,0,0,29,0,40,39,2,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,425,185,105,90,85
277, ANDES NORORIENTALES, IGUAQUE,NOVIEMBRE,77,202,45,25,0,0,0,0,147,480,56,1,0,0,0,0,169,296,42,0,1,6,4,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,909,532,349,684,552,0
278, CARIBE, MACUIRA,DICIEMBRE,20,0,0,0,0,0,0,0,64,0,32,0,0,0,0,0,49,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,20,96,67,0
282,  ORINOQUIA, SUMAPAZ,OCTUBRE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
283, ANDES NORORIENTALES, PISBA,AGOSTO,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0
284, PACIFICO, UTRIA,MARZO,45,6,10,0,0,0,0,0,38,8,11,0,0,2,0,2,199,64,10,0,20,47,0,25,41,9,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,138,61,61,365,65
287, ANDES NORORIENTALES, PISBA,MARZO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
291, ANDES OCCIDENTALES, NEVADOS,SEPTIEMBRE,1025,740,136,14,0,0,0,429,0,0,0,0,0,0,0,0,298,210,64,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2363,2548,2344,0,581,0
296, ANDES OCCIDENTALES, OTUN QUIMBAYA,JULIO,92,2,16,0,0,0,0,66,74,110,34,0,0,0,26,46,67,27,20,0,0,0,0,113,84,95,58,0,150,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,286,176,290,227,0
301, CARIBE,ISLA DE SALAMANCA,JULIO,4,0,9,0,0,0,0,0,133,121,8,0,0,0,22,76,49,7,2,1,0,27,0,0,4,0,2,5,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,13,360,86,0
304, PACIFICO, GORGONA,DICIEMBRE,78,140,5,0,0,0,1,63,107,16,19,2,0,11,1,0,99,5,8,0,0,50,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,152,287,156,166,0
307, ANDES OCCIDENTALES, PURACE,ABRIL,299,9,37,5,30,25,0,0,218,0,29,6,0,0,0,0,11,83,37,4,16,21,33,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272,239,405,253,214,0
309, ANDES NORORIENTALES, EL COCUY,JULIO,222,119,39,6,0,43,8,0,249,342,97,18,0,76,0,0,172,247,63,16,0,66,0,0,166,221,78,60,0,133,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244,288,437,782,564,0
310, CARIBE,ISLA DE SALAMANCA,MAYO,0,74,0,0,0,0,120,0,26,189,0,1,0,0,1,102,10,50,2,4,0,0,0,164,15,1,13,1,93,0,76,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,6,194,319,230,0
314, CARIBE, SIERRA NEVADA,DICIEMBRE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,11,1,0,0,0
319, CARIBE, OLD PROVIDENCE,MARZO,245,86,197,0,10,90,12,78,391,8,187,0,8,68,14,194,465,34,260,0,0,0,0,0,516,28,347,0,88,153,22,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,666,758,718,870,759,1260
322, AMAZONIA, AMACAYACU,SEPTIEMBRE,609,65,82,6,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,673,741,800,0,0,0
327, AMAZONIA, AMACAYACU,OCTUBRE,740,227,89,11,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1519,1101,1116,0,0,0
328, CARIBE, OLD PROVIDENCE,NOVIEMBRE,272,81,34,0,64,54,66,81,299,6,89,0,0,16,8,145,65,391,75,0,8,43,8,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,723,465,652,563,655,0
329, CARIBE,ISLA DE SALAMANCA,ABRIL,42,44,4,0,0,0,0,0,218,37,0,1,0,0,0,47,42,58,0,0,0,0,0,82,37,5,3,4,0,0,32,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,0,90,303,182,198
330, CARIBE, SIERRA NEVADA,FEBRERO,37,0,8,0,0,0,0,0,1,16,0,1,0,0,0,0,65,0,0,0,0,0,0,0,35,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,2,45,18,65,37
331, CARIBE, FLAMENCOS,ENERO,106,0,8,0,0,0,0,0,19,15,5,0,0,0,0,0,720,80,0,0,0,0,0,0,288,322,2,0,0,0,0,0,200,0,13356,2,8793,11708,3230,2558,998,0,2231,3579,5320,6024,58,106,114,39,800,612
333, ANDES NORORIENTALES, ESTORAQUES,OCTUBRE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,321,0,0,0,0,0
335,  ORINOQUIA, SUMAPAZ,AGOSTO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
336, ANDES OCCIDENTALES, NEVADOS,AGOSTO,2399,1049,437,31,0,0,0,386,0,0,0,0,0,0,0,0,569,361,172,0,0,0,0,22,1888,1126,186,0,0,0,23,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4811,4453,4302,0,1124,0
337, ANDES NORORIENTALES, TAMA,JUNIO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
339, ANDES NORORIENTALES, IGUAQUE,DICIEMBRE,101,268,42,17,0,0,0,0,250,235,43,5,0,5,0,40,276,138,97,1,18,23,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,152,428,578,570,0
341, CARIBE, OLD PROVIDENCE,AGOSTO,65,415,144,0,29,39,45,137,581,85,162,0,21,26,25,119,627,92,199,0,78,17,19,121,585,50,253,0,116,365,23,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,830,777,874,1019,1153,0
342,  ORINOQUIA, SUMAPAZ,SEPTIEMBRE,0,0,0,0,0,0,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,0,0,0
343, CARIBE, MACUIRA,MARZO,6,0,14,0,0,0,0,0,18,0,8,0,0,0,0,0,187,0,19,0,0,0,0,0,40,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,26,206,44
346, CARIBE, COLORADOS,ABRIL,28,0,1,0,0,0,0,0,9,4,0,0,0,0,0,0,37,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,29,13,37,18
347, CARIBE, CORALES DEL ROSARIO,ENERO,42958,3,9,0,0,0,0,0,54406,0,0,0,0,0,0,0,68886,0,0,0,0,0,0,0,64449,0,0,0,0,0,0,0,290912,297948,275846,275324,234687,250776,201020,194814,219917,228200,221150,292140,277739,269299,47252,41250,42970,54406,68886,64449
349, ANDES OCCIDENTALES, ISLA DE LA COROTA,DICIEMBRE,1706,0,144,0,0,0,0,0,1939,0,73,0,0,0,0,0,3532,0,103,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2537,1501,1850,2012,3675,0
352, ANDES OCCIDENTALES, PURACE,JULIO,99,5,54,5,15,20,0,0,398,0,49,14,0,70,0,16,52,157,32,2,15,55,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260,251,198,547,328,0
354, CARIBE, OLD PROVIDENCE,SEPTIEMBRE,333,21,59,0,31,49,22,116,255,12,118,0,41,91,10,68,19,455,96,0,18,61,2,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,550,505,631,595,753,0
357, CARIBE,ISLA DE SALAMANCA,OCTUBRE,67,0,2,0,0,0,0,106,80,68,3,1,0,0,5,78,65,91,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193,0,175,235,223,0
358, ANDES NORORIENTALES, PISBA,NOVIEMBRE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
362, ANDES OCCIDENTALES, CUEVA DE LOS GUACHAROS,SEPTIEMBRE,53,0,1,0,0,0,0,0,6,39,0,0,0,0,0,0,4,20,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,79,54,45,29,0
368, ANDES OCCIDENTALES, CUEVA DE LOS GUACHAROS,MARZO,7,5,0,0,0,0,59,0,2,53,0,0,0,0,0,55,39,54,0,1,11,3,3,0,2,6,0,0,0,0,44,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,30,71,110,111,55
369, PACIFICO, UTRIA,JULIO,177,51,25,3,0,0,0,8,160,67,10,0,0,0,0,15,204,84,40,0,0,20,0,2,167,111,35,0,16,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264,252,350,0
371, CARIBE, TAYRONA,SEPTIEMBRE,7461,1262,2478,16,0,0,579,280,7202,1747,2958,20,0,0,445,363,8692,1621,3361,21,474,392,12,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10165,11488,12076,12735,14623,0
373, ANDES OCCIDENTALES, GALERAS,SEPTIEMBRE,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,35,14,0,11,0
374,  ORINOQUIA, SUMAPAZ,FEBRERO,4,0,0,0,0,0,0,0,2,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,21,0,0
377, ANDES NORORIENTALES, IGUAQUE,MARZO,91,188,35,85,0,0,0,0,156,119,55,4,0,23,0,36,296,254,30,6,0,0,29,32,276,216,64,0,1,12,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285,264,399,393,647,610
378, ANDES NORORIENTALES, EL COCUY,OCTUBRE,132,220,18,10,0,11,0,38,66,257,22,3,0,13,0,0,248,252,60,2,0,92,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219,204,429,361,680,0
381, ANDES NORORIENTALES, GUANENTA - ALTO RIO FONCE,MARZO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0
383,  ORINOQUIA, TUPARRO,JULIO,0,0,0,0,0,0,0,0,26,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,32,0,0
384, ANDES OCCIDENTALES, OTUN QUIMBAYA,ABRIL,89,0,14,0,0,0,0,51,61,191,20,0,0,0,1,24,59,76,5,0,0,0,0,24,221,153,49,0,0,0,2,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,283,154,297,164,498
385, ANDES OCCIDENTALES, ISLA DE LA COROTA,JULIO,2895,0,117,0,0,0,49,0,3670,0,99,0,0,0,0,0,2340,0,77,0,0,0,0,0,2396,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1930,3073,3061,3769,2417,0
388, CARIBE, SIERRA NEVADA,AGOSTO,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,26,7,0,8,0
394, CARIBE, CORALES DEL ROSARIO,DICIEMBRE,44354,0,0,0,0,0,0,0,51551,0,0,0,0,0,0,0,51051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47213,30346,44354,51551,51051,0
401, PACIFICO, GORGONA,AGOSTO,333,33,54,0,0,67,1,4,347,9,22,7,0,31,1,15,428,11,33,3,0,0,105,0,380,14,29,3,0,80,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,567,724,492,432,580,0
403,  ORINOQUIA, CHINGAZA,ENERO,842,0,0,0,0,0,0,0,718,122,35,26,79,134,91,232,772,313,18,9,20,171,63,21,586,248,43,33,33,197,9,72,346,2168,3365,3349,1600,1617,1844,589,1239,2891,3427,4328,4806,6986,903,166,842,1437,1387,1221
408, ANDES OCCIDENTALES, ISLA DE LA COROTA,NOVIEMBRE,2228,0,181,0,0,0,20,1,2572,0,128,0,0,0,0,0,2194,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1635,1340,2430,2700,2326,0
414, PACIFICO, GORGONA,SEPTIEMBRE,349,257,26,0,0,64,5,1,192,95,28,0,0,47,0,1,181,148,8,0,0,92,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,582,789,702,363,430,0
417,  ORINOQUIA, SUMAPAZ,MAYO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
427,  ORINOQUIA, CHINGAZA,NOVIEMBRE,698,120,15,12,0,21,15,315,431,225,13,17,0,0,213,16,468,444,22,10,40,125,15,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,948,766,1196,915,1394,0
428, ANDES NORORIENTALES, EL COCUY,FEBRERO,71,49,65,0,0,0,0,67,115,143,88,15,0,21,0,0,96,90,122,14,0,124,0,0,256,176,160,20,1,154,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,140,252,382,446,857
429, ANDES NORORIENTALES, PISBA,FEBRERO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
431, CARIBE, OLD PROVIDENCE,OCTUBRE,276,51,25,0,8,6,21,106,329,34,92,0,17,36,11,91,414,50,83,0,3,19,12,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,541,681,493,610,651,0
432, CARIBE,ISLA DE SALAMANCA,ENERO,0,0,8,0,0,0,0,0,172,21,12,4,0,0,0,15,41,5,31,3,0,0,1,14,152,101,26,6,0,0,0,44,300,5849,8888,10478,19064,21067,10036,10098,10101,5724,5125,6946,694,947,6,0,8,224,95,329
436, AMAZONIA, AMACAYACU,FEBRERO,387,182,132,0,0,0,0,27,416,52,93,9,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,650,884,728,592,0,0
441, ANDES OCCIDENTALES, OTUN QUIMBAYA,MARZO,156,0,35,0,0,0,0,225,89,79,57,0,0,0,2,38,117,55,52,0,0,0,0,0,170,30,63,0,0,0,2,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,311,416,265,224,352
444, CARIBE, OLD PROVIDENCE,ENERO,64,698,115,0,75,207,48,146,18,289,239,0,9,41,16,119,621,57,182,0,35,181,65,102,55,0,848,0,75,1103,241,47,0,0,17650,0,0,26238,8361,9422,9238,8043,4226,7091,10848,9193,1636,1113,1353,731,1243,2369
447, ANDES NORORIENTALES, PISBA,JULIO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0
449, CARIBE, FLAMENCOS,MARZO,233,0,31,0,0,0,0,0,2,20,0,0,0,0,0,0,999,138,0,0,0,0,0,0,324,62,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,26,264,22,1137,412
450, ANDES OCCIDENTALES, ISLA DE LA COROTA,SEPTIEMBRE,1031,0,91,0,0,0,0,0,1545,0,67,0,0,0,0,0,1098,0,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1674,1865,1122,1612,1216,0
457, CARIBE, TAYRONA,NOVIEMBRE,9667,1545,2907,13,0,0,727,301,9855,2186,3274,18,0,0,563,446,11185,2365,3687,0,0,25,0,1100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13087,10900,15160,16342,18362,0
463, AMAZONIA, AMACAYACU,JULIO,915,137,219,9,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,795,1500,1325,0,0,0
466, ANDES OCCIDENTALES, OTUN QUIMBAYA,OCTUBRE,85,0,18,0,0,0,0,83,37,170,19,0,31,43,0,1,289,0,22,0,1,0,4,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226,186,301,351,0
467, ANDES NORORIENTALES, PISBA,ABRIL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
470, AMAZONIA, AMACAYACU,MAYO,323,311,66,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,728,1186,713,0,0,0
471, ANDES NORORIENTALES, GUANENTA - ALTO RIO FONCE,ABRIL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0
476, CARIBE, FLAMENCOS,JUNIO,499,0,14,0,0,0,0,0,104,86,0,0,0,0,0,0,749,205,3,0,0,0,0,0,632,74,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,40,513,190,957,0
477, PACIFICO, UTRIA,DICIEMBRE,80,21,1,3,0,3,0,0,99,23,13,0,0,0,0,5,118,34,22,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,140,186,0
480,  ORINOQUIA, CHINGAZA,JULIO,276,155,32,8,0,0,0,13,453,183,25,16,0,0,38,33,533,302,20,10,1,41,12,31,424,107,24,24,1,40,8,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,637,681,484,748,950,0
481, PACIFICO, GORGONA,ABRIL,183,85,0,1,0,0,0,126,76,3,16,0,0,108,0,35,42,19,3,0,0,0,0,85,147,27,29,0,4,75,78,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,318,723,395,238,149,363
487, ANDES OCCIDENTALES, NEVADOS,FEBRERO,869,738,232,12,0,0,0,72,1316,648,234,24,0,0,41,0,7,15,3,2,0,0,0,0,682,471,100,0,0,0,6,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1512,1485,1923,2263,27,1273
488, ANDES NORORIENTALES, TAMA,MARZO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
493, ANDES NORORIENTALES, GUANENTA - ALTO RIO FONCE,JUNIO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
498,  ORINOQUIA, CHINGAZA,ABRIL,433,48,11,20,0,0,32,262,538,254,30,32,20,17,15,27,411,712,37,21,28,60,8,195,471,409,36,22,32,109,15,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1087,1088,806,933,1472,1181
499, ANDES OCCIDENTALES, GALERAS,JUNIO,17,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,17,15,13,0
500, ANDES NORORIENTALES, GUANENTA - ALTO RIO FONCE,DICIEMBRE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,418,320,0,0,0,0
502, PACIFICO, UTRIA,JUNIO,71,31,12,1,0,0,0,0,71,37,4,0,0,2,5,15,58,20,13,0,0,0,0,5,66,60,10,0,0,75,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,55,115,134,96,0
504, CARIBE, TAYRONA,AGOSTO,11169,2034,4834,17,0,0,925,440,13050,3196,5550,30,0,0,930,607,13280,2758,6515,30,0,0,1611,0,13741,2671,7271,0,0,212,980,591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19298,18430,19419,23363,24194,0
510, CARIBE, FLAMENCOS,MAYO,620,0,7,0,0,0,0,0,68,72,0,0,0,0,0,0,347,183,10,0,0,0,0,0,92,44,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,34,627,140,540,0
517, ANDES OCCIDENTALES, CUEVA DE LOS GUACHAROS,FEBRERO,4,0,0,0,0,0,3,0,4,12,3,0,0,0,0,0,5,3,2,0,0,0,0,3,0,0,31,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,21,7,19,13,34
519, ANDES NORORIENTALES, ESTORAQUES,MARZO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224,394,0,0,0,0
523, AMAZONIA, AMACAYACU,JUNIO,754,219,118,8,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,748,1458,1167,0,0,0
525, CARIBE, CORALES DEL ROSARIO,MARZO,23199,0,9,0,0,0,0,0,25094,0,0,0,0,0,0,0,36067,0,0,0,0,0,0,0,33435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13845,17895,23208,25094,36067,33435
534, ANDES OCCIDENTALES, CUEVA DE LOS GUACHAROS,JULIO,7,26,0,0,0,0,0,0,9,6,0,0,0,0,0,0,7,18,0,0,0,0,5,0,5,10,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,73,33,15,30,0
549, ANDES NORORIENTALES, GUANENTA - ALTO RIO FONCE,MAYO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
550, CARIBE, CORALES DEL ROSARIO,ABRIL,25065,0,55,0,0,0,0,0,26459,0,0,0,0,0,0,0,23966,0,0,0,0,0,0,0,0,0,0,35252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22030,18285,25120,26459,23966,35252
551, CARIBE, FLAMENCOS,OCTUBRE,382,0,7,0,0,0,0,0,1,24,0,0,0,0,0,0,322,21,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,23,389,25,346,0
556, ANDES OCCIDENTALES, PURACE,AGOSTO,85,4,37,11,0,0,10,15,84,3,72,6,0,12,0,4,48,27,56,2,32,33,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211,248,162,181,236,0
565, ANDES NORORIENTALES, TAMA,ENERO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1047,270,518,178,250,171,47,0,0,0,0,0,0,0,0,0,0,0,0,0
